,Dataset,Model,AUC,AUC Std. Dev.,Accuracy,Time,FS_Method
0,CRC1,RandomForest,0.627099296747369,0.0556483663781643,0.6090098119847752,6.963221044540405,AE50
1,CRC1,Boosting,0.620056000785287,0.0524949858291764,0.5845185709397785,3.767104530334473,AE50
2,CRC1,KNN,0.6100927585312327,0.0537550765918655,0.5887459488637692,0.2645391178131103,AE50
3,CRC1,LogisticRegression,0.5965553732567679,0.0604393513397045,0.5542382376255719,0.2053461360931396,AE50
4,CRC1,SVM,0.6491224451876626,0.0532265173329352,0.6098225256988143,0.399649429321289,AE50
10,CRC2,RandomForest,0.7306868686868687,0.1034351848529538,0.6576363636363637,5.282584228515625,AE50
11,CRC2,Boosting,0.685060606060606,0.1108992396868716,0.6383636363636365,1.7986035346984863,AE50
12,CRC2,KNN,0.7021767676767677,0.1102774700284603,0.6521818181818182,0.1885027980804443,AE50
13,CRC2,LogisticRegression,0.7415656565656567,0.1271625103975502,0.7083636363636364,0.1773996925354004,AE50
14,CRC2,SVM,0.7400151515151515,0.1271767711867091,0.6489090909090909,0.1706781196594238,AE50
15,CD1,RandomForest,0.7446709401709402,0.1000081044112558,0.6999945265462507,5.42465612411499,AE50
16,CD1,Boosting,0.7129946581196581,0.0950043433684783,0.650295566502463,2.06896409034729,AE50
17,CD1,KNN,0.7141559829059829,0.0926970823828471,0.6510144134282065,0.1871827316284179,AE50
18,CD1,LogisticRegression,0.7075299145299146,0.097820692201577,0.6667998540412334,0.175079231262207,AE50
19,CD1,SVM,0.6894647435897435,0.1340310982784216,0.6651103813172778,0.1952439785003662,AE50
20,CD2,RandomForest,0.6825814536340852,0.0946024735381167,0.6482392473118278,5.542922477722168,AE50
21,CD2,Boosting,0.6821778805989333,0.0780117191196218,0.6421004398826979,2.073784885406494,AE50
22,CD2,KNN,0.6593866075445023,0.112571212900097,0.6028494623655913,0.1914025592803955,AE50
23,CD2,LogisticRegression,0.6962251783304416,0.091652670724181,0.6310373900293255,0.1754195117950439,AE50
24,CD2,SVM,0.6944624381466487,0.118362772430236,0.6494538123167156,0.2162891483306884,AE50
25,PAR1,RandomForest,0.575665306122449,0.0892285683571027,0.5348571428571429,5.466145782470703,AE50
26,PAR1,Boosting,0.5355537414965986,0.0798292429816703,0.5163809523809524,2.037376575469971,AE50
27,PAR1,KNN,0.5493038548752834,0.0787372275999376,0.5361904761904761,0.1941039371490478,AE50
28,PAR1,LogisticRegression,0.5864244897959184,0.0797011764477917,0.5523809523809524,0.1730189323425293,AE50
29,PAR1,SVM,0.4228725623582767,0.0815298767782858,0.5372380952380953,0.1903627395629882,AE50
30,PAR2,RandomForest,0.6147294489611563,0.0704568357383773,0.6136345012903397,6.1759843921661375,AE50
31,PAR2,Boosting,0.6036725731359877,0.0624056957655081,0.615016628089499,2.9328573513031007,AE50
32,PAR2,KNN,0.5771445521506496,0.074278544106514,0.6040279884002447,0.2272907924652099,AE50
33,PAR2,LogisticRegression,0.638760162601626,0.0732281938792649,0.6136262537579482,0.1952242851257324,AE50
34,PAR2,SVM,0.615707855604197,0.0619083690089763,0.6149272354803522,0.319671459197998,AE50
35,PAR3,RandomForest,0.5838699901824902,0.0579132643067737,0.6225919627256843,7.18945167541504,AE50
36,PAR3,Boosting,0.583309691903442,0.0418341885223237,0.6036002329644728,4.206823034286499,AE50
37,PAR3,KNN,0.5680950926888427,0.0451993244731494,0.615070316443409,0.2642192840576172,AE50
38,PAR3,LogisticRegression,0.6715377396627398,0.0412609923570246,0.6726966414288488,0.2311715698242187,AE50
39,PAR3,SVM,0.645180865962116,0.0501260191975335,0.6343368666278393,0.5245174312591553,AE50
40,HIV,RandomForest,0.704211519047872,0.0691119596289072,0.8371976788265826,6.092245769500733,AE50
41,HIV,Boosting,0.705453659918885,0.0605579445542592,0.8234157408217421,2.6430724334716795,AE50
42,HIV,KNN,0.7188108141614862,0.080512166418802,0.7971094975651009,0.2341326236724853,AE50
43,HIV,LogisticRegression,0.6505895896427749,0.0672114343928493,0.8354751115387979,0.1887225341796875,AE50
44,HIV,SVM,0.6691475833731824,0.0698119929199578,0.7880298603213484,0.2831432342529297,AE50
45,CDI,RandomForest,0.7721766967020726,0.0510486700175145,0.7317468805704098,6.194388723373413,AE50
46,CDI,Boosting,0.7768300214822772,0.0602056397409028,0.7490730837789661,2.8401768970489503,AE50
47,CDI,KNN,0.745301000517166,0.0638765472427009,0.7352762923351159,0.2336126708984375,AE50
48,CDI,LogisticRegression,0.8005828559493975,0.0646928145240808,0.7602495543672014,0.2130475902557373,AE50
49,CDI,SVM,0.7650109649122808,0.0664439542646034,0.7395008912655971,0.2949059295654297,AE50
50,OB,RandomForest,0.7471299533799535,0.0664781810737997,0.7922556390977445,5.936210651397705,AE50
51,OB,Boosting,0.7540268065268064,0.0741843423659447,0.7894360902255638,2.627129020690918,AE50
52,OB,KNN,0.6922989510489511,0.0636846354459056,0.7717042606516291,0.2201695251464843,AE50
53,OB,LogisticRegression,0.7057808857808858,0.0786540613874299,0.7572556390977444,0.1950037860870361,AE50
54,OB,SVM,0.7128146853146853,0.0959853213427413,0.7594862155388471,0.2853837585449219,AE50
55,CIR,RandomForest,0.4650545454545454,0.1736894354347279,0.6174117647058823,5.185842638015747,AE50
56,CIR,Boosting,0.6033939393939395,0.1798119617761736,0.6257254901960784,1.765235652923584,AE50
57,CIR,KNN,0.4329333333333334,0.1213878641121879,0.5887058823529412,0.1828810882568359,AE50
58,CIR,LogisticRegression,0.5343272727272727,0.1039745508171632,0.6061176470588235,0.1750791645050048,AE50
59,CIR,SVM,0.5112727272727272,0.1872318872797181,0.6174117647058823,0.1623562908172607,AE50
60,IBD1,RandomForest,0.7205824175824176,0.1249503686036061,0.7584520123839009,5.253777809143067,AE50
61,IBD1,Boosting,0.6549010989010989,0.1439366583709389,0.6974544203646371,1.7656357383728027,AE50
62,IBD1,KNN,0.6887802197802197,0.1322966864101914,0.7196078431372548,0.1898424911499023,AE50
63,IBD1,LogisticRegression,0.6868131868131868,0.1037957316974492,0.7167595459236327,0.1729186344146728,AE50
64,IBD1,SVM,0.69810989010989,0.0995503815602128,0.7447265221878225,0.1638366222381591,AE50
65,IBD2,RandomForest,0.60402442002442,0.1140829433235522,0.5988208168642951,5.361761999130249,AE50
66,IBD2,Boosting,0.6214993894993895,0.1403325176888041,0.5966930171277997,1.941195116043091,AE50
67,IBD2,KNN,0.5502454212454212,0.1222481863180593,0.5191897233201581,0.1872021007537841,AE50
68,IBD2,LogisticRegression,0.5524053724053725,0.1095563443059513,0.5884782608695652,0.1766796588897705,AE50
69,IBD2,SVM,0.6074261294261294,0.1116224369225148,0.579756258234519,0.1779596328735351,AE50
70,MHE,RandomForest,0.501890909090909,0.1758321530387448,0.6417254901960784,5.194404315948487,AE50
71,MHE,Boosting,0.5187636363636363,0.1933522536576451,0.5836862745098039,1.7797190570831298,AE50
72,MHE,KNN,0.5465818181818182,0.1519064406855848,0.6363921568627451,0.1833211612701416,AE50
73,MHE,LogisticRegression,0.5880969696969697,0.1478259100691991,0.6570980392156862,0.1739190864562988,AE50
74,MHE,SVM,0.4908848484848485,0.2143103303295256,0.6707450980392157,0.1601957416534424,AE50
75,ART,RandomForest,0.5820043572984749,0.1185979565255202,0.7299736495388669,5.326513986587525,AE50
76,ART,Boosting,0.5498169934640523,0.140663366362063,0.7123978919631093,2.0046493434906005,AE50
77,ART,KNN,0.5665708061002179,0.1104181607319705,0.7140909090909092,0.1884020137786865,AE50
78,ART,LogisticRegression,0.5132331154684097,0.1277971542884842,0.7205797101449276,0.1841212940216064,AE50
79,ART,SVM,0.524,0.1586838363463668,0.7463372859025033,0.1772792243957519,AE50
0,CRC1,RandomForest,0.619255607440595,0.0553575044903941,0.5930405251760186,7.442621126174926,AE100
1,CRC1,Boosting,0.5888231210954755,0.0524444648630211,0.573155455246766,5.208134880065918,AE100
2,CRC1,KNN,0.6211232094402726,0.0461258038153855,0.5972435059622099,0.3164719867706299,AE100
3,CRC1,LogisticRegression,0.617121410992617,0.0491289427925924,0.5873091529645286,0.271300573348999,AE100
4,CRC1,SVM,0.6565296235530034,0.0533716119421003,0.6185017437152931,0.4308971214294433,AE100
10,CRC2,RandomForest,0.7617878787878787,0.1161674289279057,0.7009090909090909,5.216916837692261,AE100
11,CRC2,Boosting,0.7475656565656564,0.1147678545709205,0.6945454545454546,2.3292049884796144,AE100
12,CRC2,KNN,0.7198737373737374,0.1148890882624426,0.658909090909091,0.1958043384552002,AE100
13,CRC2,LogisticRegression,0.7480606060606061,0.1219536183642764,0.7027272727272726,0.1877223968505859,AE100
14,CRC2,SVM,0.7171212121212122,0.1371688534533937,0.6250909090909091,0.1893626499176025,AE100
15,CD1,RandomForest,0.7186773504273505,0.1024053574517641,0.6690439700784527,5.385006313323975,AE100
16,CD1,Boosting,0.7014017094017094,0.105377587718242,0.6349151614668855,2.5879838275909424,AE100
17,CD1,KNN,0.6904540598290599,0.0953933790044652,0.6624539317642767,0.2032859897613525,AE100
18,CD1,LogisticRegression,0.7194113247863249,0.0948923303985682,0.6578544061302682,0.2076468467712402,AE100
19,CD1,SVM,0.6925405982905982,0.1384951234745337,0.6445210727969349,0.2190894126892089,AE100
20,CD2,RandomForest,0.6959764796606901,0.0919340647212912,0.6674731182795699,5.502442293167114,AE100
21,CD2,Boosting,0.668570785939207,0.0963264578867635,0.6096896383186705,2.618630495071411,AE100
22,CD2,KNN,0.6698113874429664,0.1159806771691239,0.6312414467253177,0.2075267601013183,AE100
23,CD2,LogisticRegression,0.7543737549000709,0.0794249433826916,0.6844024926686216,0.1988045310974121,AE100
24,CD2,SVM,0.7299383073067284,0.077656090270841,0.6433174486803519,0.2286513996124267,AE100
25,PAR1,RandomForest,0.5716480725623583,0.0847256982832771,0.5433333333333333,5.465713663101196,AE100
26,PAR1,Boosting,0.5585315192743764,0.085508870292921,0.5461904761904761,2.551855936050415,AE100
27,PAR1,KNN,0.5975764172335601,0.0775773601872472,0.5406666666666665,0.2093673229217529,AE100
28,PAR1,LogisticRegression,0.6264743764172335,0.0800297966219144,0.5786666666666667,0.1840812969207763,AE100
29,PAR1,SVM,0.5108027210884354,0.12894324876826,0.559047619047619,0.2147282695770263,AE100
30,PAR2,RandomForest,0.6302944722395942,0.0738401289308701,0.6215486737435816,6.297180786132812,AE100
31,PAR2,Boosting,0.5943108540059759,0.0709922053490653,0.5885034719450873,4.023655643463135,AE100
32,PAR2,KNN,0.5821043707872975,0.0572737614935805,0.5891534307074254,0.3639627838134766,AE100
33,PAR2,LogisticRegression,0.6343151622541866,0.0712093978146222,0.6118258972517093,0.2461353874206543,AE100
34,PAR2,SVM,0.6081601695504134,0.0655252498100173,0.6010684545188495,0.3778051948547363,AE100
35,PAR3,RandomForest,0.5992490110302611,0.0672533203688319,0.6355094544748592,7.485766973495483,AE100
36,PAR3,Boosting,0.5825783812658814,0.048523782964323,0.5940909337992623,5.834859209060669,AE100
37,PAR3,KNN,0.5653284787191037,0.0621892087800508,0.6150778489613667,0.3239130401611328,AE100
38,PAR3,LogisticRegression,0.6599488478863479,0.0466365618313457,0.6541049893224617,0.3101099014282226,AE100
39,PAR3,SVM,0.624631070974821,0.0523651070766101,0.6296036497767424,0.5441627407073975,AE100
40,HIV,RandomForest,0.7129645077307264,0.0775887782096594,0.8371976788265826,6.303285646438599,AE100
41,HIV,Boosting,0.7407132104209837,0.0758150562385476,0.8338008339894439,3.2272032070159917,AE100
42,HIV,KNN,0.6692768715796186,0.0877006975757377,0.767920100312017,0.2551374053955078,AE100
43,HIV,LogisticRegression,0.7150969661548271,0.0662590728525256,0.8252282389992126,0.2095669651031494,AE100
44,HIV,SVM,0.7319678373448099,0.0868425008423586,0.8239795876709531,0.3449379539489746,AE100
45,CDI,RandomForest,0.7727804630624179,0.0595479324324009,0.7311764705882353,6.4334722518920895,AE100
46,CDI,Boosting,0.7767189799896567,0.0621316636895849,0.7383957219251337,3.693987321853638,AE100
47,CDI,KNN,0.7417153996101365,0.0612951924042348,0.7352762923351159,0.2568187236785889,AE100
48,CDI,LogisticRegression,0.8046962147432072,0.0607024931766611,0.7633689839572193,0.265939884185791,AE100
49,CDI,SVM,0.7740067430480964,0.0719827901228817,0.7418894830659536,0.3633218669891357,AE100
50,OB,RandomForest,0.7867511655011655,0.0689986322028465,0.7922180451127819,6.07937123298645,AE100
51,OB,Boosting,0.8229836829836831,0.0657965987587001,0.8185588972431078,3.223657932281494,AE100
52,OB,KNN,0.767502913752914,0.0768660928298537,0.7965162907268172,0.2472157955169677,AE100
53,OB,LogisticRegression,0.7538053613053612,0.0556989507308079,0.7487468671679197,0.2185056209564209,AE100
54,OB,SVM,0.7944988344988344,0.0790688188486199,0.8107644110275689,0.3136109161376953,AE100
55,CIR,RandomForest,0.4328363636363636,0.1891752896421806,0.6461176470588235,5.164560546875,AE100
56,CIR,Boosting,0.5691878787878788,0.1921899641823554,0.6235294117647059,2.279554319381714,AE100
57,CIR,KNN,0.4549212121212121,0.1495727930554413,0.5916862745098039,0.1846014499664306,AE100
58,CIR,LogisticRegression,0.5023272727272727,0.144354393007392,0.6010980392156863,0.1867219448089599,AE100
59,CIR,SVM,0.5010424242424242,0.2072823332879495,0.6307450980392156,0.1736389064788818,AE100
60,IBD1,RandomForest,0.6845934065934065,0.1285942949516776,0.7736842105263158,5.137799320220947,AE100
61,IBD1,Boosting,0.6246813186813187,0.1324383203860496,0.7314688682490541,2.3192031478881834,AE100
62,IBD1,KNN,0.6805604395604395,0.1076328407242272,0.7006673546611626,0.1889229583740234,AE100
63,IBD1,LogisticRegression,0.6500000000000001,0.1057199971041751,0.7232060543515653,0.1849219799041748,AE100
64,IBD1,SVM,0.6619340659340659,0.1619452544129676,0.7270244238046095,0.1769599342346191,AE100
65,IBD2,RandomForest,0.5311428571428572,0.1156165177003579,0.5661989459815546,5.293554735183716,AE100
66,IBD2,Boosting,0.5852429792429793,0.0927632862772445,0.5805072463768116,2.445471935272217,AE100
67,IBD2,KNN,0.5224945054945056,0.135078314349813,0.5296508563899868,0.197044506072998,AE100
68,IBD2,LogisticRegression,0.5427741147741147,0.1075350933833624,0.580737812911726,0.1860419368743896,AE100
69,IBD2,SVM,0.5844249084249085,0.1445022661360138,0.6120882740447958,0.202125072479248,AE100
70,MHE,RandomForest,0.5476000000000001,0.164384907893234,0.644078431372549,5.10839282989502,AE100
71,MHE,Boosting,0.5924848484848485,0.1504232168548537,0.6367058823529411,2.2773139762878416,AE100
72,MHE,KNN,0.5326181818181818,0.1273747896687522,0.6574117647058823,0.1878821849822998,AE100
73,MHE,LogisticRegression,0.6476121212121213,0.1431380262035723,0.6781176470588235,0.1835213947296142,AE100
74,MHE,SVM,0.4475757575757575,0.2077239108540369,0.6523921568627451,0.174479055404663,AE100
75,ART,RandomForest,0.5886165577342047,0.1340685866261941,0.7401910408432147,5.243503313064576,AE100
76,ART,Boosting,0.6226623093681917,0.1283847272365045,0.717411067193676,2.4741783809661864,AE100
77,ART,KNN,0.5737363834422659,0.1049664950122706,0.7176416337285904,0.1978845119476318,AE100
78,ART,LogisticRegression,0.5229760348583878,0.123681991738994,0.7242160737812913,0.1930035495758056,AE100
79,ART,SVM,0.524392156862745,0.1790664370293257,0.7394400527009224,0.1900824451446533,AE100
0,CRC1,RandomForest,0.6034615104155712,0.056062838959497,0.5755602734689627,6.900848836898804,VAE
1,CRC1,Boosting,0.5736199561080612,0.0508823692072449,0.5583745725719216,3.627732105255127,VAE
2,CRC1,KNN,0.5428490916612327,0.0475068121732996,0.5419856889959983,0.2732716083526611,VAE
3,CRC1,LogisticRegression,0.5867597933012206,0.0459241325358203,0.5603778581098169,0.2002670764923095,VAE
4,CRC1,SVM,0.595637695182404,0.0689602816508267,0.5486867836794199,0.4116731071472168,VAE
10,CRC2,RandomForest,0.618919191919192,0.1191009951092631,0.6085454545454546,5.182544755935669,VAE
11,CRC2,Boosting,0.5578282828282828,0.1121180953247742,0.5329090909090909,1.8088137912750244,VAE
12,CRC2,KNN,0.6694646464646464,0.1150349161581681,0.5809090909090908,0.1876855182647705,VAE
13,CRC2,LogisticRegression,0.6162828282828283,0.1208466527389836,0.5767272727272728,0.1709889411926269,VAE
14,CRC2,SVM,0.6065353535353535,0.1301699719983061,0.5752727272727273,0.1708942985534668,VAE
15,CD1,RandomForest,0.6667927350427351,0.0931738130350779,0.6280824667031564,5.336084709167481,VAE
16,CD1,Boosting,0.5510737179487181,0.103915852162101,0.5460062032475826,1.9878419971466064,VAE
17,CD1,KNN,0.5794198717948719,0.1029079245657785,0.5197044334975369,0.1874908447265625,VAE
18,CD1,LogisticRegression,0.620909188034188,0.0868159069041811,0.5659806604634191,0.1765769004821777,VAE
19,CD1,SVM,0.6460865384615385,0.1598971680161751,0.5646506112023354,0.188047399520874,VAE
20,CD2,RandomForest,0.6312325686009896,0.0660705579246659,0.6071566471163244,5.425766830444336,VAE
21,CD2,Boosting,0.574295353769038,0.0896037769022158,0.5570197947214076,2.119192132949829,VAE
22,CD2,KNN,0.6098743654006812,0.0933863646178821,0.5983516617790812,0.1950359916687011,VAE
23,CD2,LogisticRegression,0.5895366621682411,0.0848147783673153,0.5637988758553274,0.1815444087982177,VAE
24,CD2,SVM,0.6916547779705674,0.0520600427983057,0.5998863636363637,0.204352912902832,VAE
25,PAR1,RandomForest,0.4840335600907029,0.0731773899309629,0.487047619047619,5.345286588668824,VAE
26,PAR1,Boosting,0.4743746031746031,0.0764767701542041,0.488,2.1490194320678717,VAE
27,PAR1,KNN,0.4436916099773242,0.0904043713270964,0.4611428571428572,0.1905536556243896,VAE
28,PAR1,LogisticRegression,0.4385632653061225,0.090923547810364,0.4691428571428572,0.1736145877838134,VAE
29,PAR1,SVM,0.5772462585034013,0.0764272624625486,0.4584761904761905,0.1906786632537842,VAE
30,PAR2,RandomForest,0.5340618094642485,0.0767133739388627,0.5886447441934711,6.156518039703369,VAE
31,PAR2,Boosting,0.4900232784379126,0.0709128141546528,0.530413174767872,2.832422285079956,VAE
32,PAR2,KNN,0.5339812556458898,0.0584549432665494,0.5862037406550137,0.2360738468170166,VAE
33,PAR2,LogisticRegression,0.544852442498784,0.0733649523813509,0.5947505786575146,0.1857426834106445,VAE
34,PAR2,SVM,0.5085100583698144,0.0862177839325136,0.5975938489371324,0.3085468959808349,VAE
35,PAR3,RandomForest,0.549791118041118,0.0680796978916928,0.6241171034750534,6.97408522605896,VAE
36,PAR3,Boosting,0.5409239937052437,0.0536682687576139,0.587443680838672,3.743415365219116,VAE
37,PAR3,KNN,0.5327183962808962,0.0534827001527309,0.6031412929528247,0.2821690464019775,VAE
38,PAR3,LogisticRegression,0.5318772955647956,0.0485175618523497,0.604360396039604,0.2165036392211914,VAE
39,PAR3,SVM,0.5247999826749826,0.0653119887491634,0.5965723160551349,0.4452046394348145,VAE
40,HIV,RandomForest,0.522601969431309,0.0983699779521544,0.8371976788265826,6.088535776138306,VAE
41,HIV,Boosting,0.607955475266989,0.104374657472672,0.829236753856472,2.5888756561279296,VAE
42,HIV,KNN,0.6026312806616723,0.0823995297791222,0.7936004432391449,0.2368849182128906,VAE
43,HIV,LogisticRegression,0.608839239856189,0.0747559940319968,0.8349119645408684,0.1815059471130371,VAE
44,HIV,SVM,0.5695186228149407,0.0790707037731014,0.8068829207126818,0.2908347797393799,VAE
45,CDI,RandomForest,0.7178259637188208,0.0546868839895955,0.7226737967914438,6.16104455947876,VAE
46,CDI,Boosting,0.6884577515216614,0.0592150539725267,0.7195900178253121,2.7101978492736816,VAE
47,CDI,KNN,0.681373746867168,0.0648933866045943,0.7227985739750445,0.2394970893859863,VAE
48,CDI,LogisticRegression,0.606001163623344,0.0933594820124059,0.7149197860962567,0.1886906051635742,VAE
49,CDI,SVM,0.692979000079564,0.0660486361462419,0.7126559714795009,0.300569019317627,VAE
50,OB,RandomForest,0.5348834498834498,0.0991934988601587,0.7815288220551377,5.924256553649903,VAE
51,OB,Boosting,0.5922027972027972,0.0694632867108422,0.7552506265664161,2.463628988265991,VAE
52,OB,KNN,0.5411888111888112,0.0680775408934971,0.7069423558897243,0.221839599609375,VAE
53,OB,LogisticRegression,0.537913752913753,0.0903080126529803,0.7779699248120301,0.1743081855773925,VAE
54,OB,SVM,0.5206876456876457,0.0902081902666765,0.7794486215538847,0.262400484085083,VAE
55,CIR,RandomForest,0.4980363636363636,0.1911296872685452,0.652078431372549,5.10890606880188,VAE
56,CIR,Boosting,0.5434666666666667,0.1603621722831079,0.595764705882353,1.7276308917999268,VAE
57,CIR,KNN,0.5741333333333334,0.157104560761098,0.5254901960784314,0.1849662494659424,VAE
58,CIR,LogisticRegression,0.5587636363636365,0.1716956309246226,0.5930980392156863,0.1738771438598632,VAE
59,CIR,SVM,0.5136606060606062,0.2049892992794992,0.6410980392156863,0.1620272350311279,VAE
60,IBD1,RandomForest,0.5931428571428572,0.1054198591217934,0.7278981768145855,5.118241090774536,VAE
61,IBD1,Boosting,0.6477362637362637,0.0954647609817403,0.6988097695218438,1.7545760154724122,VAE
62,IBD1,KNN,0.5458351648351648,0.0969708362060878,0.7182800137598899,0.1808745574951172,VAE
63,IBD1,LogisticRegression,0.5813186813186814,0.1412113994713576,0.7321224630202958,0.1711450386047363,VAE
64,IBD1,SVM,0.4989230769230769,0.1399811500757319,0.7212315101479189,0.1620967197418213,VAE
65,IBD2,RandomForest,0.505020757020757,0.1193180101796948,0.5634123847167326,5.311872463226319,VAE
66,IBD2,Boosting,0.561982905982906,0.10527274905253,0.5630434782608695,1.8822777080535888,VAE
67,IBD2,KNN,0.5294029304029304,0.104866890736297,0.5592687747035573,0.1847541809082031,VAE
68,IBD2,LogisticRegression,0.5876825396825397,0.1152376725571771,0.5726152832674571,0.1737790775299072,VAE
69,IBD2,SVM,0.5322637362637364,0.1299150739933708,0.571600790513834,0.1752828502655029,VAE
70,MHE,RandomForest,0.5887515151515151,0.1462824247998576,0.6363921568627451,5.061727819442749,VAE
71,MHE,Boosting,0.5988121212121212,0.1176570140961594,0.6324705882352941,1.7200548648834229,VAE
72,MHE,KNN,0.4703636363636363,0.1363192924532309,0.6476862745098039,0.1780152034759521,VAE
73,MHE,LogisticRegression,0.5287757575757576,0.148000756457005,0.6363921568627451,0.1696946907043457,VAE
74,MHE,SVM,0.4841090909090909,0.1827534345812403,0.6603921568627452,0.159080057144165,VAE
75,ART,RandomForest,0.4915010893246186,0.1156554436225997,0.7444466403162057,5.2427145195007325,VAE
76,ART,Boosting,0.5107755991285403,0.1166036637868354,0.6741106719367589,1.8281219577789307,VAE
77,ART,KNN,0.5856274509803922,0.1098192610840207,0.7389196310935442,0.1876693439483642,VAE
78,ART,LogisticRegression,0.5466274509803921,0.1192455692012598,0.7160606060606061,0.1761050319671631,VAE
79,ART,SVM,0.4960915032679738,0.1494867574968849,0.7408827404479578,0.1719454002380371,VAE
0,CRC2,RandomForest,0.7642424242424244,0.1095307258261817,0.6961904761904762,,Relief50
1,CRC2,Boosting,0.5882491582491582,0.13745691348727,0.5519047619047619,,Relief50
2,CRC2,KNN,0.7368686868686869,0.0971536554750572,0.5780952380952381,,Relief50
3,CRC2,LogisticRegression,0.7198653198653199,0.099389924457886,0.6490476190476191,,Relief50
4,CRC2,SVM,0.7457575757575757,0.1429946311734613,0.647142857142857,,Relief50
5,CRC1,RandomForest,0.6842914361638724,0.0314225419786863,0.6408163265306123,,Relief50
6,CRC1,Boosting,0.6445005363791253,0.0397104576626807,0.5918367346938775,,Relief50
7,CRC1,KNN,0.5825975649088856,0.0302109812627797,0.5510204081632653,,Relief50
8,CRC1,LogisticRegression,0.5931463017886316,0.0383296743411678,0.5571428571428572,,Relief50
9,CRC1,SVM,0.5961726194232347,0.0402640419042409,0.5591836734693878,,Relief50
10,CD1,RandomForest,0.797235576923077,0.0617708120254011,0.7357142857142858,,Relief50
11,CD1,Boosting,0.7181891025641025,0.0850030916174522,0.6928571428571428,,Relief50
12,CD1,KNN,0.6280448717948719,0.088803342727221,0.5785714285714285,,Relief50
13,CD1,LogisticRegression,0.7669551282051282,0.0543939353455427,0.6785714285714286,,Relief50
14,CD1,SVM,0.7717628205128205,0.098313119647285,0.6214285714285714,,Relief50
15,CD2,RandomForest,0.8281119465329991,0.036128266827263,0.7625,,Relief50
16,CD2,Boosting,0.8025383972752393,0.03138193537424,0.71875,,Relief50
17,CD2,KNN,0.6692468350363088,0.088599634471958,0.5875,,Relief50
18,CD2,LogisticRegression,0.7857271383587173,0.044970302948797,0.69375,,Relief50
19,CD2,SVM,0.7816946211683053,0.0562575057068247,0.69375,,Relief50
20,PAR1,RandomForest,0.7311428571428571,0.0403275078094024,0.6485057471264367,,Relief50
21,PAR1,Boosting,0.6662222222222222,0.0473914561221607,0.627816091954023,,Relief50
22,PAR1,KNN,0.6987936507936507,0.0668940641808026,0.6409195402298851,,Relief50
23,PAR1,LogisticRegression,0.7080634920634922,0.0623664024390312,0.6951724137931035,,Relief50
24,PAR1,SVM,0.6081904761904762,0.0957125536182742,0.5604597701149425,,Relief50
25,PAR2,RandomForest,0.7057900771315406,0.0300765701360447,0.639846223428313,,Relief50
26,PAR2,Boosting,0.6901860537836149,0.0568909409526322,0.6339213025780189,,Relief50
